name,symbol,id,is_governance
Ethereum,eth,ethereum,
Tether,usdt,tether,
BNB,bnb,binancecoin,
USDC,usdc,usd-coin,
Lido Staked Ether,steth,staked-ether,
Toncoin,ton,the-open-network,
Shiba Inu,shib,shiba-inu,
Wrapped Bitcoin,wbtc,wrapped-bitcoin,
Chainlink,link,chainlink,
Uniswap,uni,uniswap,True
NEAR Protocol,near,near,
Wrapped eETH,weeth,wrapped-eeth,
LEO Token,leo,leo-token,
Polygon,matic,matic-network,
Dai,dai,dai,
Pepe,pepe,pepe,
Artificial Superintelligence Alliance,fet,fetch-ai,True
Ethena USDe,usde,ethena-usde,
Renzo Restaked ETH,ezeth,renzo-restaked-eth,
Render,rndr,render-token,
Arbitrum,arb,arbitrum,
Mantle,mnt,mantle,True
OKB,okb,okb,
Cronos,cro,crypto-com-chain,
Immutable,imx,immutable-x,True
First Digital USD,fdusd,first-digital-usd,
Injective,inj,injective-protocol,
Lido DAO,ldo,lido-dao,True
The Graph,grt,the-graph,True
Maker,mkr,maker,True
Rocket Pool ETH,reth,rocket-pool-eth,
Ondo,ondo,ondo-finance,True
Fantom,ftm,fantom,
FLOKI,floki,floki,
Mantle Staked Ether,meth,mantle-staked-ether,
Bitget Token,bgb,bitget-token,
Bonk,bonk,bonk,
JasmyCoin,jasmy,jasmycoin,
WhiteBIT Coin,wbt,whitebit,
Aave,aave,aave,True
Quant,qnt,quant-network,
GALA,gala,gala,
Kelp DAO Restaked ETH,rseth,kelp-dao-restaked-eth,
Gate,gt,gatechain-token,
Ethena,ena,ethena,
Starknet,strk,starknet,
Pendle,pendle,pendle,True
Axie Infinity,axs,axie-infinity,True
SingularityNET,agix,singularitynet,
Tokenize Xchange,tkx,tokenize-xchange,
BitTorrent,btt,bittorrent,
Beam,beam,beam-2,True
Gnosis,gno,gnosis,
Ethereum Name Service,ens,ethereum-name-service,True
The Sandbox,sand,the-sandbox,
Worldcoin,wld,worldcoin-wld,
ether.fi Staked ETH,eeth,ether-fi-staked-eth,
USDD,usdd,usdd,
LayerZero,zro,layerzero,
Fasttoken,ftn,fasttoken,
Chiliz,chz,chiliz,
NEXO,nexo,nexo,
Synthetix Network,snx,havven,True
Frax Ether,frxeth,frax-ether,
Frax,frax,frax,
Wormhole,w,wormhole,
DeXe,dexe,dexe,True
Coinbase Wrapped Staked ETH,cbeth,coinbase-wrapped-staked-eth,
Decentraland,mana,decentraland,True
ApeCoin,ape,apecoin,True
MANTRA,om,mantra-dao,
Swell Ethereum,sweth,sweth,
Safe,safe,safe,
Tether Gold,xaut,tether-gold,
PancakeSwap,cake,pancakeswap-token,
Livepeer,lpt,livepeer,True
Staked Frax Ether,sfrxeth,staked-frax-ether,
1inch,1inch,1inch,True
TrueUSD,tusd,true-usd,
AIOZ Network,aioz,aioz-network,
XDC Network,xdc,xdce-crowd-sale,
Rocket Pool,rpl,rocket-pool,True
Mog Coin,mog,mog-coin,
ConstitutionDAO,people,constitutiondao,
Arkham,arkm,arkham,
Stader ETHx,ethx,stader-ethx,
Ocean Protocol,ocean,ocean-protocol,
Aevo,aevo,aevo-exchange,
PAX Gold,paxg,pax-gold,
Blur,blur,blur,True
Illuvium,ilv,illuvium,
Memecoin,meme,memecoin-2,
Curve DAO,crv,curve-dao-token,True
WOO,woo,woo-network,
PayPal USD,pyusd,paypal-usd,
Axelar,axl,axelar,
Astar,astr,astar,
CorgiAI,corgiai,corgiai,
Echelon Prime,prime,echelon-prime,True
Turbo,turbo,turbo,
BUSD,busd,binance-usd,
Pax Dollar,usdp,paxos-standard,
Gemini Dollar,gusd,gemini-dollar,
cETH,ceth,compound-ether,
Huobi,ht,huobi-token,
Frax Share,fxs,frax-share,True
FLEX Coin,flex,flex-coin,
Compound,comp,compound-governance-token,True
Nexus Mutual,nxm,nxm,True
Zilliqa,zil,zilliqa,
dYdX,ethdydx,dydx,
cUSDC,cusdc,compound-usd-coin,
Enjin Coin,enj,enjincoin,
Basic Attention,bat,basic-attention-token,
Convex Finance,cvx,convex-finance,True
tomiNet,tomi,tominet,True
Loopring,lrc,loopring,True
Liquity USD,lusd,liquity-usd,
Mask Network,mask,mask-network,
Huobi BTC,hbtc,huobi-btc,
MX,mx,mx-token,
DeFiChain,dfi,defichain,
Holo,hot,holotoken,
cDAI,cdai,cdai,
Escoin,elg,escoin-token,True
Euro Tether,eurt,tether-eurt,
GMT,gmt,stepn,True
yearn.finance,yfi,yearn-finance,True
Bone ShibaSwap,bone,bone-shibaswap,True
Baby Doge Coin,babydoge,baby-doge-coin,
Solar,sxp,swipe,
Balancer,bal,balancer,True
BTSE Token,btse,btse-token,
Waves,waves,waves,
Audius,audio,audius,True
Olympus,ohm,olympus,
Magic,magic,magic,True
Rollbit Coin,rlb,rollbit-coin,
SafePal,sfp,safepal,
ECOMI,omi,ecomi,
Aragon,ant,aragon,True
Ankr Network,ankr,ankr,True
Golem,glm,golem,
XT.com,xt,xtcom-token,
Ribbon Finance,rbn,ribbon-finance,True
IoTeX,iotx,iotex,
AltLayer,alt,altlayer,True
SKALE,skl,skale,
Open Exchange Token,ox old,open-exchange-token,
Metis,metis,metis-token,True
ZetaChain,zeta,zetachain,
Kujira,kuji,kujira,
SuperVerse,super,superfarm,True
aelf,elf,aelf,
cWBTC,cwbtc,compound-wrapped-btc,
Pixels,pixel,pixels,
Sushi,sushi,sushi,True
Ether.fi,ethfi,ether-fi,
PepeCoin,pepecoin,pepecoin-2,
UMA,uma,uma,True
0x Protocol,zrx,0x,True
Tellor Tributes,trb,tellor,
Autonolas,olas,autonolas,True
Polymath,poly,polymath,
Band Protocol,band,band-protocol,True
Merit Circle,mc,merit-circle,True
Reserve Rights,rsr,reserve-rights-token,
Amp,amp,amp-token,
Magic Internet Money (Ethereum),mim,magic-internet-money,
Spell,spell,spell-token,True
Celsius Network,cel,celsius-degree-token,
e-Radix,exrd,e-radix,
Dogelon Mars,elon,dogelon-mars,
WAX,waxp,wax,
OMG Network,omg,omisego,
Velas,vlx,velas,
renBTC,renbtc,renbtc,
Fei USD,fei,fei-usd,
Rally,rly,rally-2,
Bancor Network,bnt,bancor,True
Telcoin,tel,telcoin,
xSUSHI,xsushi,xsushi,
Smooth Love Potion,slp,smooth-love-potion,
Anchor Protocol,anc,anchor-protocol,
UFO Gaming,ufo,ufo-gaming,
SwissBorg,borg,swissborg,
Perpetual Protocol,perp,perpetual-protocol,
Ren,ren,republic-protocol,
Synapse,syn,synapse-2,True
Yield Guild Games,ygg,yield-guild-games,True
Chromia,chr,chromaway,
Onyxcoin,xcn,chain-2,
Everscale,ever,everscale,
MAGA,trump,maga,
Humans.ai,heart,humans-ai,
Keep Network,keep,keep-network,
API3,api3,api3,True
Ultra,uos,ultra,
Evmos,evmos,evmos,
Serum,srm,serum,
HUSD,husd,husd,
Xido Finance,xido,xido-finance,
VGX Token,vgx,ethos,
Kyber Network Crystal,knc,kyber-network-crystal,True
Portal,portal,portal-2,
SSV Network,ssv,ssv-network,True
Astrafer,astrafer,astrafer,True
DAO Maker,dao,dao-maker,True
VVS Finance,vvs,vvs-finance,
LooksRare,looks,looksrare,
Moonchain,mxc,mxc,
Coinmetro,xcm,coinmetro,
Alchemix USD,alusd,alchemix-usd,
Blox,cdt,blox,
Status,snt,status,True
PlayDapp,pda,playdapp,
CEEK Smart VR,ceek,ceek,
CoinEx,cet,coinex-token,
STASIS EURO,eurs,stasis-eurs,
Nest Protocol,nest,nest,
Bitgert,brise,bitrise-token,
LUKSO [OLD],lyxe,lukso-token,
Pundi X,pundix,pundi-x-2,
Radio Caca,raca,radio-caca,
Tribe,tribe,tribe-2,
Cratos,crts,cratos,
